title,released_year,rated_class,run_time,stars,total_ratings,genre,summary
"Lover, Stalker, Killer",2024.0,,1h 30m,7.0,7K,Documentary|Crime,"In this twisting documentary, a mechanic tries online dating for the first time and meets a woman who takes romantic obsession to a deadly extreme."
Gladiator 2,2024.0,,,,,Action|Adventure|Drama,"Follows Lucius, the son of Maximus' love Lucilla, after Maximus' death."
Beetlejuice Beetlejuice,2024.0,,,,,Comedy|Fantasy|Horror,"This is a follow-up to the comedy Beetlejuice (1988), about a ghost who's recruited to help haunt a house."
Mea Culpa,2024.0,R,2h,4.1,2.9K,Crime|Drama|Thriller,"Follows an ambitious criminal defense attorney that, in her aspiration to be named partner, takes on the case of an artist accused of murdering his girlfriend."
The Dark Knight,2008.0,PG,2h 32m,9.0,2.8M,Action|Crime|Drama,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
Godzilla Minus One,2023.0,14A,2h 4m,8.3,45K,Action|Adventure|Drama,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb."
Kung Fu Panda 4,2024.0,PG,1h 34m,,,Animation|Action|Adventure,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm."
No Hard Feelings,2023.0,14A,1h 43m,6.4,150K,Comedy|Romance,"On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying."
Everything Everywhere All at Once,2022.0,14A,2h 19m,7.8,520K,Action|Adventure|Comedy,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
Color of Victory,2024.0,,2h 37m,5.8,39K,History|Sport,"The days when Istanbul was occupied as a result of the Armistice of Mudros after the First World War and the Fenerbahce football team won the ""Harington Cup"""
Spider-Man: Across the Spider-Verse,2023.0,PG,2h 20m,8.6,351K,Animation|Action|Adventure,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
Red Right Hand,2024.0,,1h 51m,5.3,1.1K,Action|Thriller,"Cash is trying to live an honest and quiet life, but when Big Cat forces him back into her services, he proves capable of anything to protect the town and the only family he has left."
Don't Worry Darling,2022.0,14A,2h 3m,6.3,143K,Drama|Mystery|Thriller,"While her husband leaves home everyday to work in a top secret facility, a young 1950s housewife begins to question her life when she notices strange behavior from the other wives in the neighborhood."
May December,2023.0,14A,1h 57m,6.9,45K,Comedy|Drama,"Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under pressure when an actress arrives to do research for a film about their past."
The Batman,2022.0,PG,2h 56m,7.8,773K,Action|Crime|Drama,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
Superman: Legacy,2025.0,,,,,Action|Adventure|Fantasy,"Follows the titular superhero as he reconciles his heritage with his human upbringing. He is the embodiment of truth, justice and a brighter tomorrow in a world that views kindness as old-fashioned."
Road House,2024.0,R,1h 54m,,,Action|Thriller,"Ex-UFC fighter Dalton (Jake Gyllenhaal) takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems."
Suncoast,2024.0,R,1h 49m,6.6,3.5K,Drama,"While caring for her brother along with her audacious mother, a teenager strikes up a friendship with an eccentric activist who is protesting one of the most landmark medical cases of all time."
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,2024.0,14A,1h 44m,6.7,2.2K,Animation,"Tanjiro undergoes rigorous training with the Stone Hashira, Himejima, in his quest to become a Hashira. Meanwhile, Muzan continues to search for Nezuko and Ubuyashiki."
Dream Scenario,2023.0,14A,1h 42m,7.0,40K,Comedy|Horror,"A hapless family man finds his life turned upside down when millions of strangers suddenly start seeing him in their dreams. When his nighttime appearances take a nightmarish turn, Paul is forced to navigate his newfound stardom."
Mean Girls,2004.0,14A,1h 37m,7.1,430K,Comedy,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
Top Gun: Maverick,2022.0,PG,2h 10m,8.2,679K,Action|Drama,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
Inception,2010.0,PG,2h 28m,8.8,2.5M,Action|Adventure|Sci-Fi,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
Deadpool,2016.0,14A,1h 48m,8.0,1.1M,Action|Comedy,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks."
Love,2015.0,R,2h 15m,6.1,66K,Drama|Romance,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed."
Nyad,2023.0,PG,2h 1m,7.1,30K,Biography|Drama|Sport,"The remarkable true story of athlete Diana Nyad who, at the age of 60 and with the help of her best friend and coach, commits to achieving her life-long dream: a 110-mile open ocean swim from Cuba to Florida."
Trolls Band Together,2023.0,G,1h 31m,6.0,11K,Animation|Adventure|Comedy,"Poppy discovers that Branch was once part of the boy band 'BroZone' with his brothers, Floyd, John Dory, Spruce and Clay. When Floyd is kidnapped, Branch and Poppy embark on a journey to reunite his two other brothers and rescue Floyd."
The Outfit,2022.0,14A,1h 45m,7.2,66K,Crime|Drama|Mystery,An expert cutter must outwit a dangerous group of mobsters in order to survive a fateful night.
Asteroid City,2023.0,PG,1h 45m,6.5,106K,Comedy|Drama|Romance,"Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted forever."
In the Land of Saints and Sinners,2023.0,R,1h 46m,6.2,8.2K,Action|Crime|Thriller,"In a remote Irish village, a damaged father is forced to fight for redemption after a lifetime of sins, but what price is he willing to pay? In the land of saints and sinners, some sins can't be buried."
The Wolf of Wall Street,2013.0,18A,3h,8.2,1.6M,Biography|Comedy|Crime,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
The Taste of Things,2023.0,PG,2h 15m,7.7,3.6K,Drama|History|Romance,"The story of Eugenie, an esteemed cook, and Dodin, the fine gourmet who she has been working for over the last 20 years."
Deadpool 2,2018.0,14A,1h 59m,7.6,638K,Action|Adventure|Comedy,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
Salaar,2023.0,14A,2h 55m,6.5,61K,Action|Crime|Drama,"The fate of a violently contested kingdom hangs on the fraught bond between two friends-turned-foes in this saga of power, bloodshed and betrayal."
Harry Potter and the Sorcerer's Stone,2001.0,PG,2h 32m,7.6,850K,Adventure|Family|Fantasy,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
Fifty Shades of Grey,2015.0,18A,2h 5m,4.2,334K,Drama|Romance|Thriller,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
Pulp Fiction,1994.0,16+,2h 34m,8.9,2.2M,Crime|Drama,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Lift,2024.0,PG-13,1h 47m,5.5,34K,Action|Comedy|Crime,Follows a master thief and his Interpol Agent ex-girlfriend who team up to steal $500 million in gold bullion being transported on an A380 passenger flight.
Titanic,1997.0,PG,3h 14m,7.9,1.3M,Drama|Romance,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
The Boys in the Boat,2023.0,PG,2h 3m,7.0,11K,Biography|Drama|Sport,"A 1930s-set story centered on the University of Washington's rowing team, from their Depression-era beginnings to winning gold at the 1936 Berlin Olympics."
The Lord of the Rings: The Fellowship of the Ring,2001.0,14A,2h 58m,8.9,2M,Action|Adventure|Drama,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Fighter,2024.0,14A,2h 46m,7.0,37K,Action|Adventure|Thriller,"Top IAF aviators come together in the face of imminent danger, to form Air Dragons. FIGHTER unfolds their camaraderie, brotherhood and battles, internal and external."
