title,released_year,rated_class,run_time,stars,total_ratings,genre,summary
42,2013.0,PG,2h 8m,7.5,102K,Biography|Drama|Sport,"In 1947, Jackie Robinson becomes the first African-American to play in Major League Baseball in the modern era when he was signed by the Brooklyn Dodgers and faces considerable racism in the process."
The Last Picture Show,1971.0,18+,1h 58m,8.0,52K,Drama|Romance,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically."
Ghostbusters II,1989.0,PG,1h 48m,6.6,221K,Action|Comedy|Fantasy,The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.
The Book of Life,2014.0,G,1h 35m,7.2,78K,Animation|Adventure|Comedy,"Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart, embarks on an adventure that spans three fantastic worlds where he must face his greatest fears."
Zack and Miri Make a Porno,2008.0,18A,1h 41m,6.5,182K,Comedy|Romance,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought."
Deuce Bigalow: Male Gigolo,1999.0,14A,1h 28m,5.7,80K,Comedy|Romance,"An average aquarium cleaner house-sits for a gigolo, only to be forced to become one himself."
Turistas,2006.0,18A,1h 33m,5.4,41K,Horror|Mystery|Thriller,A group of young backpackers' vacation turns sour when a bus accident leaves them marooned in a remote Brazilian rural area that holds an ominous secret.
Precious,2009.0,14A,1h 50m,7.3,116K,Drama,"In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that she can re-route her life in a better direction."
Flipped,2010.0,PG,1h 30m,7.7,97K,Comedy|Drama|Romance,Two eighth-graders start to have feelings for each other despite being total opposites.
The Bodyguard,1992.0,13+,2h 9m,6.4,147K,Action|Drama|Music,"A former Secret Service agent takes on the job of bodyguard to an R&B singer, whose lifestyle is most unlike a President's."
The Internship,2013.0,PG,1h 59m,6.3,214K,Comedy,"Two salesmen whose careers have been torpedoed by the digital age find their way into a coveted internship at Google, where they must compete with a group of young, tech-savvy geniuses for a shot at employment."
Valley Girl,1983.0,14A,1h 39m,6.4,18K,Comedy|Romance,"Julie, a girl from the valley, meets Randy, a punk from the city. They are from different worlds and find love. Somehow they need to stay together in spite of her trendy, shallow friends."
In the Shadow of the Moon,2019.0,TV-MA,1h 55m,6.2,61K,Action|Crime|Mystery,A Philadelphia police officer struggles with a lifelong obsession to track down a mysterious serial killer whose crimes defy explanation.
Texas Chainsaw,2013.0,18A,1h 32m,4.8,56K,Horror|Thriller,A young woman travels to Texas to collect an inheritance; little does she know that an encounter with a chainsaw-wielding killer is part of the reward.
Empire of Light,2022.0,14A,1h 55m,6.6,24K,Drama|Romance,"A drama about the power of human connection during turbulent times, set in an English coastal town in the early 1980s."
The Call of the Wild,2020.0,PG,1h 40m,6.7,56K,Adventure|Drama|Family,A sled dog struggles for survival in the wilds of the Yukon.
Freaks,2018.0,14A,1h 45m,6.7,40K,Drama|Mystery|Sci-Fi,"A bold girl discovers a bizarre, threatening, and mysterious new world beyond her front door after she escapes her father's protective and paranoid control."
The Borrowers,1997.0,G,1h 29m,5.9,24K,Adventure|Comedy|Family,A secret family of four-inch people living inside the walls of a house must save their home from an evil real estate developer.
Stoker,2013.0,14A,1h 39m,6.7,114K,Drama|Thriller,"After India's father dies, her Uncle Charlie, whom she never knew existed, comes to live with her and her unstable mother. She comes to suspect this mysterious, charming man has ulterior motives and becomes increasingly infatuated with him."
Memphis Belle,1990.0,PG-13,1h 47m,6.9,30K,Action|Drama|War,"In 1943, the crew of a B-17 based in the UK prepares for its 25th and final bombing mission over Germany before returning home to the USA."
The Defiant Ones,1958.0,Approved,1h 36m,7.6,18K,Crime|Drama,"Two chained-together escaped convicts, White and Black, must learn to get along in order to elude capture."
The War on Children,2024.0,,2h 21m,7.2,325,Documentary,"""The War On Children"" exposes the ongoing battle for control of the next generation and their minds. This film reveals the battle plan being used to control the future. To win this war you have to understand the tactics of your enemy."
The Twilight Saga: Breaking Dawn - Part 1,2011.0,PG,1h 57m,4.9,253K,Adventure|Drama|Fantasy,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks."
Before Sunset,2004.0,14A,1h 20m,8.1,286K,Drama|Romance,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
In the Loop,2009.0,14A,1h 46m,7.4,61K,Comedy,A political satire about a group of skeptical American and British operatives attempting to prevent a war between two countries.
It's a Mad Mad Mad Mad World,1963.0,G,3h 30m,7.5,46K,Action|Adventure|Comedy,"A group of motorists witnesses a car crash in the California desert, and after the driver's dying words indicate the location of a hidden stash of loot, they turn against each in a race across the state to get to it."
Gunpowder Milkshake,2021.0,14A,1h 54m,6.1,51K,Action|Crime|Thriller,Three generations of women fight back against those who could take everything from them.
The Underground Comedy Movie,1999.0,18A,1h 28m,1.9,2.7K,Comedy,A series of comedic short films guaranteed to offend.
Ghost Ship,2002.0,18A,1h 31m,5.6,108K,Horror|Mystery|Thriller,"A salvage crew discovers a long-lost 1962 passenger ship floating lifeless in a remote region of the Bering Sea, and soon notices that its long-dead inhabitants may still be on board."
Wayne's World,1992.0,G,1h 34m,7.0,170K,Comedy|Music,Two slacker friends try to promote their public-access cable show.
Spartacus,1960.0,PG-13,3h 17m,7.9,142K,Adventure|Biography|Drama,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising."
Rocky Balboa,2006.0,PG,1h 42m,7.1,230K,Action|Drama|Sport,"Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon."
The Lorax,2012.0,G,1h 26m,6.4,129K,Animation|Adventure|Comedy,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world."
To All the Boys I've Loved Before,2018.0,TV-14,1h 39m,7.0,123K,Comedy|Drama|Romance,A teenage girl's secret love letters are exposed and wreak havoc on her love life.
Secret Headquarters,2022.0,7+,1h 44m,5.2,7.7K,Action|Adventure|Comedy,"While hanging out after school, Charlie and his friends discover the headquarters of the world's most powerful superhero hidden beneath his home. When villains attack, they must team up to defend the headquarters and save the world."
Charlie's Angels,2019.0,PG,1h 58m,5.0,79K,Action|Adventure|Comedy,"When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all."
Monster's Ball,2001.0,18A,1h 51m,7.1,94K,Drama|Romance,"After a family tragedy, a racist prison guard re-examines his attitudes while falling in love with the African-American wife of the last prisoner he executed."
Booksmart,2019.0,14A,1h 42m,7.1,130K,Comedy,"On the eve of their high-school graduation, two academic superstars and best friends realize they should have worked less and played more. Determined not to fall short of their peers, the girls try to cram four years of fun into one night."
Mud,2012.0,PG,2h 10m,7.4,188K,Adventure|Drama,Two young boys encounter a fugitive and form a pact to help him evade the vigilantes that are on his trail and to reunite him with his true love.
The Unforgiven,1960.0,G,2h 5m,6.6,9.6K,Drama|Romance|Western,The neighbors of a frontier family turn on them when it is suspected that their adopted daughter was stolen from the local Kiowa tribe.
How the Grinch Stole Christmas,2000.0,G,1h 44m,6.3,290K,Comedy|Family|Fantasy,"On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town."
Return to Silent Hill,,,,,,Horror,"When a mysterious letter calls him back to Silent Hill in search of his lost love, James finds a once-recognizable town and encounters terrifying figures both familiar and new, and begins to question his own sanity."
The Forgotten Battle,2020.0,TV-MA,2h 4m,7.1,37K,Drama|War,"1944, the Second World War. A British glider pilot, a Dutch boy fighting on the German side and a Dutch female resistance member all end up involved in the Battle of the Schelde. Their choices differ, but their goal is the same: freedom."
Conan the Barbarian,2011.0,18A,1h 53m,5.1,102K,Action|Adventure|Fantasy,A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.
The Bourne Supremacy,2004.0,PG,1h 48m,7.7,485K,Action|Mystery|Thriller,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
Pocahontas,1995.0,TV-PG,1h 21m,6.7,202K,Animation|Adventure|Drama,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.
28 Days,2000.0,14A,1h 43m,6.1,54K,Comedy|Drama,A big-city newspaper columnist is forced to enter a drug and alcohol rehab center after ruining her sister's wedding and crashing a stolen limousine.
Dog Day Afternoon,1975.0,18A,2h 5m,8.0,272K,Biography|Crime|Drama,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does."
Match Point,2005.0,14A,2h 4m,7.6,227K,Drama|Romance|Thriller,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law."
Homeward Bound: The Incredible Journey,1993.0,G,1h 24m,6.9,51K,Adventure|Comedy|Drama,"A fun-loving American bulldog pup, a hilarious Himalayan cat, and a wise old golden retriever embark on a long trek through the rugged wilderness of the Sierra Nevada mountains in a quest to reach home and their beloved owners."
The BFG,2016.0,PG,1h 57m,6.3,93K,Adventure|Family|Fantasy,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world."
Black Death,2010.0,18A,1h 42m,6.4,51K,Action|Drama|History,"Set during the time of the first outbreak of bubonic plague in England, a young monk is given the task of learning the truth about reports of people being brought back to life in a small village."
The Nightmare Before Christmas,1993.0,PG,1h 16m,7.9,373K,Animation|Family|Fantasy,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
Toni Erdmann,2016.0,18A,2h 42m,7.3,51K,Comedy|Drama,A practical joking father tries to reconnect with his hard working daughter by creating an outrageous alter ego and posing as her CEO's life coach.
FernGully: The Last Rainforest,1992.0,G,1h 16m,6.5,34K,Animation|Adventure|Family,"The magical inhabitants of a rainforest fight to save their home, which is threatened by logging and a polluting force of destruction called Hexxus."
Shortcomings,2023.0,14A,1h 32m,6.4,2.9K,Comedy|Drama|Romance,"Follows a trio of young, Bay Area urbanites--Ben Tanaka, Miko Hayashi and Alice Kim--as they navigate a range of interpersonal relationships while traversing the country in search of the ideal connection."
Radical,2023.0,PG-13,2h 5m,7.8,3K,Drama,"A teacher in a Mexican border town full of neglect, corruption, and violence, tries a radical new method to unlock their students' curiosity, potential - and maybe even their genius."
Happy Death Day,2017.0,14A,1h 36m,6.6,161K,Comedy|Horror|Mystery,"A college student must relive the day of her murder over and over again, in a loop that will end only when she discovers her killer's identity."
The Painter,2024.0,R,1h 40m,4.6,811,Thriller,"An ex-CIA operative is thrown back into a dangerous world when a mysterious woman from his past resurfaces. Now exposed and targeted by a relentless killer and a rogue black ops program, he must rely on skills he thought he left behind."
Into the Woods,2014.0,PG,2h 5m,5.9,147K,Adventure|Comedy|Drama,A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.
The Last Kingdom: Seven Kings Must Die,2023.0,TV-MA,1h 51m,6.9,35K,Action|Drama|History,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last."
Evil Dead,2013.0,18A,1h 31m,6.5,196K,Horror,"Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods."
In the Heart of the Sea,2015.0,PG,2h 2m,6.9,148K,Action|Adventure|Biography,"A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick."
The Fountain,2006.0,14A,1h 37m,7.2,248K,Drama|Mystery|Romance,"As a modern-day scientist, Tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, Izzi."
Tarot,2024.0,,,,,Horror,"When a group of friends recklessly violates the sacred rule of Tarot readings they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death."
Tootsie,1982.0,PG,1h 56m,7.4,114K,Comedy|Drama|Romance,"Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap."
Philadelphia,1993.0,PG,2h 5m,7.7,257K,Drama,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit."
The Thing,2011.0,18A,1h 43m,6.2,145K,Horror|Mystery|Sci-Fi,"At an Antarctica research site, the discovery of an alien craft leads to a confrontation between graduate student Kate Lloyd and scientist Dr. Sander Halvorson."
Mafia Mamma,2023.0,14A,1h 41m,5.4,10K,Action|Comedy|Crime,"An American mom inherits her grandfather's mafia empire in Italy. Guided by the firm's consigliere, she hilariously defies everyone's expectations as the new head of the family business."
Little Shop of Horrors,1986.0,G,1h 34m,7.1,86K,Comedy|Horror|Musical,A nerdy florist finds his chance for success and romance with the help of a giant man-eating plant who demands to be fed.
Baby's Day Out,1994.0,14A,1h 39m,6.2,55K,Adventure|Comedy|Crime,"After three kidnappers lose the baby they have kidnapped, both the cops and kidnappers go looking for the baby."
Real Steel,2011.0,PG,2h 7m,7.1,353K,Action|Drama|Sci-Fi,"In the near future, robot boxing is a top sport. A struggling ex-boxer feels he's found a champion in a discarded robot."
The Mission,1986.0,14A,2h 5m,7.4,65K,Adventure|Drama|History,Eighteenth-century Spanish Jesuits try to protect a remote South American tribe in danger of falling under the rule of pro-slavery Portugal.
Good Burger,1997.0,PG,1h 35m,5.8,33K,Comedy|Family,"A dim-witted teenager and his new coworker try to save the old burger joint they work for from failing after the opening of a brand new burger restaurant across the street, which's planning to put them out of business."
House of 1000 Corpses,2003.0,R,1h 29m,6.0,93K,Horror,Two young couples traveling across the backwoods of Texas searching for urban legends of murder end up as prisoners of a bizarre and sadistic backwater family of serial killers.
Dasvi,2022.0,,2h 5m,7.5,61K,Comedy|Drama,"Jailed under a tough cop, an uneducated politician decides to spend his time studying for high school, while his scheming wife has plans of her own."
Enemy at the Gates,2001.0,14A,2h 11m,7.5,276K,Action|Drama|War,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.
The Whole Nine Yards,2000.0,14A,1h 38m,6.7,129K,Comedy|Crime,"A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts."
Lost Girls and Love Hotels,2020.0,R,1h 37m,4.7,5.3K,Drama,"Disillusioned with the world she knows, a woman searches for meaning and affirmations of life with a dashing Yakuza gangster in Tokyo."
Snowden,2016.0,14A,2h 14m,7.3,162K,Biography|Crime|Drama,"The NSA's illegal surveillance techniques are leaked to the public by one of the agency's employees, Edward Snowden, in the form of thousands of classified documents distributed to the press."
Red Dawn,2012.0,14A,1h 33m,5.3,80K,Action|Drama|War,A group of teenagers look to save their town from an invasion of North Korean soldiers.
Chicken Run,2000.0,G,1h 24m,7.1,211K,Animation|Adventure|Comedy,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners."
Chloe,2009.0,18A,1h 36m,6.3,77K,Drama|Mystery|Thriller,"Suspecting her husband of infidelity, gynecologist Dr. Catherine Stewart hires an escort named Chloe in order to test his faithfulness. Soon, the relationships between all three intensify."
Project Hail Mary,,,,,,Sci-Fi,An astronaut tries to save Earth while alone in outer space.
Mary Poppins Returns,2018.0,G,2h 10m,6.7,95K,Adventure|Comedy|Family,"A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives."
Videodrome,1983.0,18+,1h 27m,7.2,102K,Horror|Sci-Fi|Thriller,A programmer at a Toronto TV station that specializes in adult entertainment searches for the producers of a dangerous and bizarre broadcast.
Spy Kids 3: Game Over,2003.0,G,1h 24m,4.4,66K,Action|Adventure|Comedy,"Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world."
The Fanatic,2019.0,R,1h 28m,4.1,12K,Crime|Drama|Horror,A rabid film fan stalks his favorite action hero and destroys the star's life.
The Rocketeer,1991.0,PG,1h 48m,6.6,61K,Action|Adventure|Family,A young pilot stumbles onto a prototype jetpack that allows him to become a high-flying masked hero.
Cube,1997.0,18A,1h 30m,7.1,246K,Horror|Mystery|Sci-Fi,A group of strangers awaken to find themselves placed in a giant cube. Each one of them is gifted with a special skill and they must work together to escape an endless maze of deadly traps.
Howard the Duck,1986.0,14A,1h 50m,4.7,50K,Action|Adventure|Comedy,A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop an alien invasion with the help of a nerdy scientist and a struggling female rock singer.
Salt,2010.0,14A,1h 40m,6.4,329K,Action|Thriller,A CIA agent goes on the run after a defector accuses her of being a Russian spy.
Real Genius,1985.0,PG,1h 48m,6.9,37K,Comedy|Romance|Sci-Fi,"An uptight teenage prodigy enters a top engineering college, but feels awkward among the freewheeling students. When a professor aims to turn their laser project into a military weapon, he and his offbeat roommate plot to ruin the plan."
A Ghost Story,2017.0,PG,1h 32m,6.8,79K,Drama|Fantasy|Mystery,"In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife."
Oye Bhole Oye,2024.0,PG,2h 2m,8.7,133,Drama,"Bhola's quest for work in the city leads him to Aveera, a rich woman drawn to his simple life. But their romance faces trouble when Bhola must save his village."
17 Again,2009.0,PG,1h 42m,6.4,215K,Comedy|Drama|Fantasy,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.
Body Heat,1981.0,14+,1h 53m,7.4,40K,Crime|Drama|Romance,"A beautiful Florida woman seduces a seedy lawyer, with the hidden agenda of having him kill her rich husband."
Trouble with the Curve,2012.0,PG,1h 51m,6.8,68K,Drama|Sport,"A daughter tries to remedy her dysfunctional relationship with her ailing father, a decorated baseball scout, by helping him in a recruiting trip which could be his last."
Bandit,2022.0,14A,2h 6m,6.4,13K,Crime|Drama|Thriller,"After escaping a Michigan prison, a charming career criminal assumes a new identity in Canada and goes on to rob a record 59 banks and jewellery stores while being hunted by a police task force. Based on the story of The Flying Bandit."
Four Brothers,2005.0,18A,1h 49m,6.8,156K,Action|Crime|Drama,"When their adoptive mother is gunned down in a store robbery, four brothers decide to investigate the murder and find the killers themselves, but not all is what it seems."
The Birdcage,1996.0,PG,1h 57m,7.2,100K,Comedy,A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.
Code 8: Part II,2024.0,TV-PG,1h 40m,5.8,1.7K,Action|Crime|Drama,"Follows a girl fighting to get justice for her slain brother by corrupt police officers. She enlists the help of an ex-con and his former partner, they face a highly regarded and well protected police sergeant who doesn't want to be."
Goodnight Mommy,2022.0,16+,1h 32m,5.7,14K,Crime|Drama|Horror,Twin brothers arrive at their mother's house and begin to suspect that something isn't right.
Foxcatcher,2014.0,PG,2h 14m,7.0,149K,Biography|Drama|History,"U.S. Olympic wrestling champions and brothers Mark Schultz and Dave Schultz join ""Team Foxcatcher"", led by eccentric multi-millionaire John du Pont, as they train for the 1988 Olympic Games in Seoul, South Korea, but John's self-destructive behavior threatens to consume them all."
Deliver Us,2023.0,Unrated,1h 43m,4.8,1.8K,Horror,"When a nun in a remote convent claims immaculate conception, the Vatican sends a team of priests to investigate, concerned about an ancient prophecy that a woman will give birth to twin boys: one the Messiah, the other the Anti-Christ."
American Symphony,2023.0,PG-13,1h 44m,6.8,3K,Documentary|Biography|Music,"In this deeply intimate documentary, musician Jon Batiste attempts to compose a symphony as his wife, writer Suleika Jaouad, undergoes cancer treatment."
Lucky Number Slevin,2006.0,18A,1h 50m,7.7,325K,Crime|Drama|Thriller,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
Savages,2012.0,18A,2h 11m,6.4,134K,Action|Crime|Drama,Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.
Stick It,2006.0,PG,1h 43m,6.4,30K,Comedy|Drama|Sport,"After a run-in with the law, Haley is forced to return to the world from which she fled years ago. Enrolled in an elite gymnastics program run by the legendary Burt Vickerman, Haley's rebellious attitude slowly gives way to a team spirit."
Dreamgirls,2006.0,PG,2h 10m,6.6,77K,Drama|Music|Musical,"A trio of black female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way."
Dirty Harry,1971.0,14A,1h 42m,7.7,167K,Action|Crime|Thriller,"When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath."
Cold Pursuit,2019.0,14A,1h 59m,6.2,78K,Action|Comedy|Crime,A grieving snowplow driver seeks out revenge against the drug dealers who killed his son.
Imagine Me & You,2005.0,14A,1h 30m,6.7,36K,Comedy|Drama|Romance,"A newlywed bride becomes infatuated with another woman who questions her sexual orientation, promoting a stir among the bride's family and friends."
The Poughkeepsie Tapes,2007.0,R,1h 21m,6.0,24K,Horror|Mystery|Thriller,"In an abandoned house in Poughkeepsie, New York murder investigators uncover hundreds of tapes showing decades of a serial killer's work."
Young Guns,1988.0,14A,1h 47m,6.8,67K,Action|Drama|Western,"A group of young gunmen, led by Billy the Kid, become deputies to avenge the murder of the rancher who became their benefactor. But when Billy takes their authority too far, they become the hunted."
Indecent Proposal,1993.0,14A,1h 57m,6.0,78K,Drama|Romance,"A billionaire offers $1,000,000 to a young married couple for one night with the wife."
Frozen,2010.0,14A,1h 33m,6.2,80K,Adventure|Thriller,"Three skiers stranded on a chairlift are forced to make life-or-death choices, which prove more perilous than staying put and freezing to death."
Raw,2016.0,R,1h 39m,7.0,88K,Drama|Horror,"A young woman, studying to be a vet, develops a craving for human flesh."
Your Place or Mine,2023.0,PG-13,1h 49m,5.7,38K,Comedy|Romance,Two long-distance best friends change each other's lives when she decides to pursue a lifelong dream and he volunteers to keep an eye on her teenage son.
Angels & Demons,2009.0,14A,2h 18m,6.7,308K,Action|Mystery|Thriller,Harvard symbologist Robert Langdon works with a nuclear physicist to solve a murder and prevent a terrorist act against the Vatican during one of the significant events within the church.
The Adjustment Bureau,,,,,,,
Anger Management,2003.0,14,1h 46m,6.2,227K,Comedy,"Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor."
Another End,2024.0,,2h 9m,6.6,178,Drama|Romance|Sci-Fi,"Two people who have loved each other, and continue to love each other, even after one of them dies."
Pitch Perfect 3,2017.0,PG,1h 33m,5.8,71K,Comedy|Music,"Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices."
The Karate Kid Part II,1986.0,G,1h 53m,6.1,98K,Action|Family|Sport,"Daniel accompanies his mentor, Mr. Miyagi, to Miyagi's childhood home in Okinawa. Miyagi visits his dying father and confronts his old rival, while Daniel falls in love and inadvertently makes a new rival of his own."
Good Burger 2,2023.0,TV-PG,1h 30m,5.3,3.3K,Comedy|Family,"After his latest invention fails, Dex is welcomed back by Ed to his old job at Good Burger, which is once again put in jeopardy when Dex devises a plan to get back on his feet."
King Kong,1976.0,G,2h 14m,6.0,35K,Adventure|Horror,A petroleum exploration expedition comes to an isolated island and encounters a colossal giant gorilla.
A Silent Voice: The Movie,2016.0,PG,2h 10m,8.1,99K,Animation|Drama,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
Sick of Myself,2022.0,,1h 37m,7.1,14K,Drama|Horror,"Increasingly overshadowed by her boyfriend's recent rise to fame as a contemporary artist creating sculptures from stolen furniture, Signe hatches a vicious plan to reclaim her rightfully deserved attention within the milieu of Oslo's cultural elite."
The Break-Up,2006.0,PG,1h 46m,5.8,138K,Comedy|Drama|Romance,A couple's break-up proceeds to get uglier and nastier by the moment as each tries to keep their luxurious condo from the other.
Endless Love,1981.0,13+,1h 56m,4.9,9.5K,Drama|Romance,"Parental disapproval of a passionate romance between two teenagers leads to arguments, circumstance, insanity and tragedy."
Box: Metaphor,2023.0,,1h 18m,3.1,251,Sci-Fi|Thriller,"""Box Metaphor"" is a compelling dystopian journey where unjust imprisonment unveils societal conformity and defiance's profound impact. It's about breaking free from metaphorical boxes and the resilience of the human spirit."
The Obscure Spring,2014.0,TV-MA,1h 40m,6.2,747,Drama,"Igor and Pina long for each other but cannot act. When spring comes, their passions are unleashed, though burdened by guilt."
The Italian Job,1969.0,PG,1h 39m,7.2,50K,Action|Comedy|Crime,A comic caper movie about a plan to steal a gold shipment from the streets of Turin by creating a traffic jam.
The Unforgivable,2021.0,14A,1h 52m,7.1,118K,Crime|Drama|Mystery,A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.
From Beyond,1986.0,16+,1h 25m,6.6,30K,Horror|Sci-Fi,"A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality. But when the experiment succeeds, they are immediately attacked by terrible life forms."
Yolo,2024.0,PG-13,2h 9m,6.9,431,Comedy|Drama|Sport,"After argument with younger sister, Le Ying moves out on her own. She meets a boxing trainer and starts boxing."
The Way,2010.0,14A,2h 3m,7.3,35K,Comedy|Drama,"A father heads overseas to recover the body of his estranged son who died while traveling the ""El camino de Santiago,"" and decides to take the pilgrimage himself."
Hanna,2011.0,14A,1h 51m,6.7,206K,Action|Adventure|Drama,"A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives."
Alice in Wonderland,1951.0,G,1h 15m,7.3,153K,Animation|Adventure|Comedy,Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.
Wild Rose,2018.0,14A,1h 41m,7.1,15K,Drama|Music,A troubled young Glaswegian woman dreams of becoming a Nashville country star.
The Outpost,2019.0,18A,2h 3m,6.8,40K,Action|Drama|History,A small team of U.S. soldiers battles against hundreds of Taliban fighters in Afghanistan.
The Disaster Artist,2017.0,14A,1h 44m,7.3,163K,Biography|Comedy|Drama,"When aspiring actor Greg Sestero meets the weird and mysterious Tommy Wiseau in an acting class, they form a unique friendship and travel to Hollywood to make their dreams come true."
The Falling,2014.0,13+,1h 42m,5.3,7.8K,Drama|Mystery|Thriller,"It's 1969 at a strict English girls' school where charismatic Abbie and intense and troubled Lydia are best friends. After a tragedy occurs at the school, a mysterious fainting epidemic breaks out threatening the stability of all involved."
The Quiet Girl,2022.0,PG,1h 35m,7.7,21K,Drama,"In rural Ireland, a quiet, neglected girl is sent away from her dysfunctional family to live with relatives for the summer where she blossoms and learns what it is to be loved."
The Conjuring: The Devil Made Me Do It,2021.0,14A,1h 52m,6.3,137K,Horror|Mystery|Thriller,"Arne Cheyenne Johnson stabs and murders his landlord, claiming to be under demonic possession while Ed and Lorraine Warren investigate the case and try to prove his innocence."
Thirteen Lives,2022.0,13+,2h 27m,7.8,67K,Action|Adventure|Biography,A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.
The Lost City of Z,2016.0,14A,2h 21m,6.6,99K,Adventure|Biography|Drama,"A true-life drama, centering on British explorer Major Percival Fawcett, who disappeared whilst searching for a mysterious city in the Amazon in the 1920s."
Influencer,2022.0,18+,1h 32m,6.2,13K,Horror|Mystery|Thriller,"While struggling on a solo backpacking trip in Thailand, social media influencer Madison meets CW, who travels with ease and shows her a more uninhibited way of living, but CW's interest in her takes a darker turn."
Widows,2018.0,14A,2h 9m,6.8,104K,Crime|Drama|Thriller,Four women with nothing in common except a debt left behind by their dead husbands' criminal activities take fate into their own hands and conspire to forge a future on their own terms.
